Frame	Head.X	Head.Y	Feet.X	Feet.Y	Height
001	1354	572	1229	1034	172.72
002	996	333	956	722	172.72
003	925	274	887	626	172.72
004	956	280	894	637	172.72
005	973	285	909	663	172.72
006	981	314	935	685	172.72
007	992	331	949	718	172.72
008	1054	353	958	746	172.72
009	1057	383	1000	827	172.72
010	1117	428	1013	883	172.72
011	1121	427	1041	931	172.72
012	1091	437	1020	962	172.72
013	1111	448	1018	963	172.72
014	1288	514	1173	994	172.72
015	1326	519	1206	1035	172.72
016	1353	538	1182	1053	172.72
